,Name,Description,Prognosis,Medicine
0,Dr A Jayavelu,https://www.apollo247.com/doctors/8813b3f5-4511-4bb8-8c1c-7c63bc715ce6?utm_source=askapollo_web&utm_medium=web_redirection,(vertigo)_Paroymsal__Positional_Vertigo,meclizine
1,Dr. Sameer Mhatre,https://www.apollo247.com/doctors/dr-sameer-mhatre-d038d41e-75fb-403c-b066-f9d5e16d397b,AIDS,Tenofovir
2,Prof. Dr. Sunita Samal,https://www.apollo247.com/doctors/dr-prof-dr-sunita-samal-788eb0b7-7ab7-4b8e-b64e-37921f392321,Acne,tetracycline
3,Dr. Upender Shava,https://www.apollo247.com/doctors/dr-upender-shava-ef98a3d3-0815-4db9-9ff5-55c11c73ed15,Alcoholic_hepatitis,Pentoxifylline 
4,Dr. Yashaswi R G,https://www.apollo247.com/doctors/dr-yashaswi-r-g-4a6929ee-3cde-4ce2-bf32-da682a7c1bbe,Allergy,Cetirizine 
5,Dr. Shiva Prasad B N,https://www.apollo247.com/doctors/dr-shiva-prasad-b-n-82882e97-ec35-4b73-8eeb-532fbcbb43bc,Arthritis,celecoxib 
6,Dr. Astha Jain,https://www.apollo247.com/doctors/dr-astha-jain-52a424a2-d7aa-4102-a18d-c4d41541fe6d,Bronchial_Asthma,fluticasone propionate 
7,Dr. Rani Bhat,https://www.apollo247.com/doctors/dr-rani-bhat-a491f444-50b9-41ea-82dc-dbd4b9cad93d,Cervical_spondylosis,Ibuprofen 
8,Dr. Gowri Sankar Bapanapalli,https://www.apollo247.com/doctors/dr-gowri-sankar-bapanapalli-69b1075e-5944-41ad-9f44-c357b5c73cdc,Chicken_pox,acyclovir 
9,Dr. Vipul Agrawal,https://www.apollo247.com/doctors/dr-vipul-agrawal-2fa2d951-ad15-46ae-9c46-6c9240ec2bba,Chronic_cholestasis,ursodiol 
10,Dr. Abraham Oomman,https://www.apollo247.com/doctors/dr-abraham-oomman-fc32b178-0539-46d2-b157-1e5050f01c8c,Common_Cold,oxymetazoline nasal
